Date;Товар;MoM;Day
2014-08-01;Непродовольственные товары;100.85;01.08.2014
2014-08-01;Продовольственные товары;100.09;01.08.2014
2014-08-01;Услуги;100.29;01.08.2014
2014-09-01;Все товары и услуги;101.22;01.09.2014
2014-09-01;Непродовольственные товары;101.21;01.09.2014
2014-09-01;Продовольственные товары;101.76;01.09.2014
2014-09-01;Услуги;100.25;01.09.2014
2014-10-01;Все товары и услуги;100.6;01.10.2014
2014-10-01;Непродовольственные товары;101.44;01.10.2014
2014-10-01;Продовольственные товары;101.05;01.10.2014
2014-10-01;Услуги;98.309998;01.10.2014
2014-11-01;Все товары и услуги;100.98;01.11.2014
2014-11-01;Непродовольственные товары;100.69;01.11.2014
2014-11-01;Продовольственные товары;101.79;01.11.2014
2014-11-01;Услуги;99.970001;01.11.2014
2014-12-01;Все товары и услуги;101.94;01.12.2014
2014-12-01;Непродовольственные товары;101.77;01.12.2014
2014-12-01;Продовольственные товары;103.04;01.12.2014
2014-12-01;Услуги;100.17;01.12.2014
2015-01-01;Все товары и услуги;104.11;01.01.2015
2015-01-01;Непродовольственные товары;103.56;01.01.2015
2015-01-01;Продовольственные товары;106.21;01.01.2015
2015-01-01;Услуги;101.24;01.01.2015
2015-02-01;Все товары и услуги;103.01;01.02.2015
2015-02-01;Непродовольственные товары;102.9;01.02.2015
2015-02-01;Продовольственные товары;104.65;01.02.2015
2015-02-01;Услуги;100.05;01.02.2015
2015-03-01;Все товары и услуги;101.92;01.03.2015
2015-03-01;Непродовольственные товары;102.85;01.03.2015
2015-03-01;Продовольственные товары;101.9;01.03.2015
2015-03-01;Услуги;100.31;01.03.2015
2015-04-01;Все товары и услуги;101.24;01.04.2015
2015-04-01;Непродовольственные товары;101.22;01.04.2015
2015-04-01;Продовольственные товары;99.879997;01.04.2015
2015-04-01;Услуги;104.06;01.04.2015
2015-05-01;Все товары и услуги;100.37;01.05.2015
2015-05-01;Непродовольственные товары;101.21;01.05.2015
2015-05-01;Продовольственные товары;99.620003;01.05.2015
2015-05-01;Услуги;100.36;01.05.2015
2015-06-01;Все товары и услуги;99.720001;01.06.2015
2015-06-01;Непродовольственные товары;100.21;01.06.2015
2015-06-01;Продовольственные товары;98.980003;01.06.2015
2015-06-01;Услуги;100.27;01.06.2015
2015-07-01;Все товары и услуги;100.33;01.07.2015
2015-07-01;Непродовольственные товары;100.24;01.07.2015
2015-07-01;Продовольственные товары;98.730003;01.07.2015
2015-07-01;Услуги;103.56;01.07.2015
2015-08-01;Все товары и услуги;100.44;01.08.2015
2015-08-01;Непродовольственные товары;101.1;01.08.2015
2015-08-01;Продовольственные товары;99.559998;01.08.2015
2015-08-01;Услуги;100.89;01.08.2015
2015-09-01;Все товары и услуги;101.0;01.09.2015
2015-09-01;Непродовольственные товары;101.56;01.09.2015
2015-09-01;Продовольственные товары;100.99;01.09.2015
2015-09-01;Услуги;100.06;01.09.2015
2015-10-01;Все товары и услуги;101.31;01.10.2015
2015-10-01;Непродовольственные товары;101.21;01.10.2015
2015-10-01;Продовольственные товары;101.55;01.10.2015
2015-10-01;Услуги;101.05;01.10.2015
2015-11-01;Все товары и услуги;100.32;01.11.2015
2015-11-01;Непродовольственные товары;100.43;01.11.2015
2015-11-01;Продовольственные товары;100.44;01.11.2015
2015-11-01;Услуги;99.900002;01.11.2015
2015-12-01;Все товары и услуги;100.62;01.12.2015
2015-12-01;Непродовольственные товары;100.29;01.12.2015
2015-12-01;Продовольственные товары;100.95;01.12.2015
2015-12-01;Услуги;100.59;01.12.2015
2016-01-01;Все товары и услуги;100.79;01.01.2016
2016-01-01;Непродовольственные товары;100.41;01.01.2016
2016-01-01;Продовольственные товары;101.8;01.01.2016
2016-01-01;Услуги;99.730003;01.01.2016
2016-02-01;Все товары и услуги;100.62;01.02.2016
2016-02-01;Непродовольственные товары;100.32;01.02.2016
2016-02-01;Продовольственные товары;101.11;01.02.2016
2016-02-01;Услуги;100.29;01.02.2016
2016-03-01;Все товары и услуги;100.25;01.03.2016
2016-03-01;Непродовольственные товары;100.55;01.03.2016
2016-03-01;Продовольственные товары;100.06;01.03.2016
2016-03-01;Услуги;100.09;01.03.2016
2016-04-01;Все товары и услуги;101.09;01.04.2016
2016-04-01;Непродовольственные товары;101.04;01.04.2016
2016-04-01;Продовольственные товары;101.56;01.04.2016
2016-04-01;Услуги;100.35;01.04.2016
2016-05-01;Все товары и услуги;100.21;01.05.2016
2016-05-01;Непродовольственные товары;100.14;01.05.2016
2016-05-01;Продовольственные товары;99.900002;01.05.2016
2016-05-01;Услуги;100.86;01.05.2016
2016-06-01;Все товары и услуги;100.24;01.06.2016
2016-06-01;Непродовольственные товары;100.32;01.06.2016
2016-06-01;Продовольственные товары;99.739998;01.06.2016
2016-06-01;Услуги;100.98;01.06.2016
2016-07-01;Все товары и услуги;100.61;01.07.2016
2016-07-01;Непродовольственные товары;100.52;01.07.2016
2016-07-01;Продовольственные товары;99.959999;01.07.2016
2016-07-01;Услуги;101.88;01.07.2016
2016-08-01;Все товары и услуги;100.09;01.08.2016
2016-08-01;Непродовольственные товары;100.42;01.08.2016
2016-08-01;Продовольственные товары;99.480003;01.08.2016
2016-08-01;Услуги;100.54;01.08.2016
2016-09-01;Все товары и услуги;99.870003;01.09.2016
2016-09-01;Непродовольственные товары;100.73;01.09.2016
2016-09-01;Продовольственные товары;99.709999;01.09.2016
2016-09-01;Услуги;98.699997;01.09.2016
2016-10-01;Все товары и услуги;100.6;01.10.2016
2016-10-01;Непродовольственные товары;100.61;01.10.2016
2016-10-01;Продовольственные товары;101.16;01.10.2016
2016-10-01;Услуги;99.650002;01.10.2016
2016-11-01;Все товары и услуги;100.29;01.11.2016
2016-11-01;Непродовольственные товары;100.74;01.11.2016
2016-11-01;Продовольственные товары;100.31;01.11.2016
2016-11-01;Услуги;99.480003;01.11.2016
2016-12-01;Все товары и услуги;101.33;01.12.2016
2016-12-01;Непродовольственные товары;102.28;01.12.2016
2016-12-01;Продовольственные товары;100.54;01.12.2016
2016-12-01;Услуги;101.05;01.12.2016
2017-01-01;Все товары и услуги;100.47;01.01.2017
2017-01-01;Непродовольственные товары;100.81;01.01.2017
2017-01-01;Продовольственные товары;100.51;01.01.2017
2017-01-01;Услуги;99.870003;01.01.2017
2017-02-01;Все товары и услуги;100.33;01.02.2017
2017-02-01;Непродовольственные товары;100.52;01.02.2017
2017-02-01;Продовольственные товары;99.889999;01.02.2017
2017-02-01;Услуги;100.72;01.02.2017
2017-03-01;Все товары и услуги;100.2;01.03.2017
2017-03-01;Непродовольственные товары;100.83;01.03.2017
2017-03-01;Продовольственные товары;99.980003;01.03.2017
2017-03-01;Услуги;99.559998;01.03.2017
2017-04-01;Все товары и услуги;100.77;01.04.2017
2017-04-01;Непродовольственные товары;100.63;01.04.2017
2017-04-01;Продовольственные товары;101.19;01.04.2017
2017-04-01;Услуги;100.28;01.04.2017
2017-05-01;Все товары и услуги;100.46;01.05.2017
2017-05-01;Непродовольственные товары;100.31;01.05.2017
2017-05-01;Продовольственные товары;100.83;01.05.2017
2017-05-01;Услуги;100.1;01.05.2017
2017-06-01;Все товары и услуги;100.58;01.06.2017
2017-06-01;Непродовольственные товары;99.860001;01.06.2017
2017-06-01;Продовольственные товары;100.88;01.06.2017
2017-06-01;Услуги;101.24;01.06.2017
2017-07-01;Все товары и услуги;99.519997;01.07.2017
2017-07-01;Непродовольственные товары;100.26;01.07.2017
2017-07-01;Продовольственные товары;97.769997;01.07.2017
2017-07-01;Услуги;101.2;01.07.2017
2017-08-01;Все товары и услуги;99.489998;01.08.2017
2017-08-01;Непродовольственные товары;100.46;01.08.2017
2017-08-01;Продовольственные товары;97.620003;01.08.2017
2017-08-01;Услуги;100.92;01.08.2017
2017-09-01;Все товары и услуги;99.860001;01.09.2017
2017-09-01;Непродовольственные товары;100.32;01.09.2017
2017-09-01;Продовольственные товары;99.849998;01.09.2017
2017-09-01;Услуги;99.139999;01.09.2017
2017-10-01;Все товары и услуги;100.16;01.10.2017
2017-10-01;Непродовольственные товары;100.3;01.10.2017
2017-10-01;Продовольственные товары;100.49;01.10.2017
2017-10-01;Услуги;99.419998;01.10.2017
2017-11-01;Все товары и услуги;100.18;01.11.2017
2017-11-01;Непродовольственные товары;99.639999;01.11.2017
2017-11-01;Продовольственные товары;100.67;01.11.2017
2017-11-01;Услуги;100.28;01.11.2017
2017-12-01;Все товары и услуги;100.44;01.12.2017
2017-12-01;Непродовольственные товары;99.690002;01.12.2017
2017-12-01;Продовольственные товары;101.47;01.12.2017
2017-12-01;Услуги;100.03;01.12.2017
2018-01-01;Все товары и услуги;99.970001;01.01.2018
2018-01-01;Непродовольственные товары;100.0;01.01.2018
2018-01-01;Продовольственные товары;99.809998;01.01.2018
2018-01-01;Услуги;100.2;01.01.2018
2018-02-01;Все товары и услуги;100.34;01.02.2018
2018-02-01;Непродовольственные товары;100.14;01.02.2018
2018-02-01;Продовольственные товары;100.64;01.02.2018
2018-02-01;Услуги;100.14;01.02.2018
2018-03-01;Все товары и услуги;100.08;01.03.2018
2018-03-01;Непродовольственные товары;99.980003;01.03.2018
2018-03-01;Продовольственные товары;100.17;01.03.2018
2018-03-01;Услуги;100.09;01.03.2018
2018-04-01;Все товары и услуги;100.5;01.04.2018
2018-04-01;Непродовольственные товары;100.4;01.04.2018
2018-04-01;Продовольственные товары;100.47;01.04.2018
2018-04-01;Услуги;100.7;01.04.2018
2018-05-01;Все товары и услуги;100.09;01.05.2018
2018-05-01;Непродовольственные товары;100.83;01.05.2018
2018-05-01;Продовольственные товары;99.510002;01.05.2018
2018-05-01;Услуги;99.870003;01.05.2018
2018-06-01;Все товары и услуги;100.64;01.06.2018
2018-06-01;Непродовольственные товары;100.08;01.06.2018
2018-06-01;Продовольственные товары;101.23;01.06.2018
2018-06-01;Услуги;100.56;01.06.2018
2018-07-01;Все товары и услуги;100.12;01.07.2018
2018-07-01;Непродовольственные товары;100.11;01.07.2018
2018-07-01;Продовольственные товары;99.25;01.07.2018
2018-07-01;Услуги;101.58;01.07.2018
2018-08-01;Все товары и услуги;99.949997;01.08.2018
2018-08-01;Непродовольственные товары;100.11;01.08.2018
2018-08-01;Продовольственные товары;99.459999;01.08.2018
2018-08-01;Услуги;100.5;01.08.2018
2018-09-01;Все товары и услуги;99.699997;01.09.2018
2018-09-01;Непродовольственные товары;100.25;01.09.2018
2018-09-01;Продовольственные товары;99.589996;01.09.2018
2018-09-01;Услуги;99.0;01.09.2018
2018-10-01;Все товары и услуги;100.09;01.10.2018
2018-10-01;Непродовольственные товары;100.11;01.10.2018
2018-10-01;Продовольственные товары;100.09;01.10.2018
2018-10-01;Услуги;100.05;01.10.2018
2018-11-01;Все товары и услуги;100.87;01.11.2018
2018-11-01;Непродовольственные товары;100.34;01.11.2018
2018-11-01;Продовольственные товары;101.93;01.11.2018
2018-11-01;Услуги;100.02;01.11.2018
2018-12-01;Все товары и услуги;101.08;01.12.2018
2018-12-01;Непродовольственные товары;100.18;01.12.2018
2018-12-01;Продовольственные товары;102.39;01.12.2018
2018-12-01;Услуги;100.4;01.12.2018
2019-01-01;Все товары и услуги;101.14;01.01.2019
2019-01-01;Непродовольственные товары;100.31;01.01.2019
2019-01-01;Продовольственные товары;101.99;01.01.2019
2019-01-01;Услуги;101.0;01.01.2019
2019-02-01;Все товары и услуги;100.71;01.02.2019
2019-02-01;Непродовольственные товары;100.31;01.02.2019
2019-02-01;Продовольственные товары;100.39;01.02.2019
2019-02-01;Услуги;101.85;01.02.2019
2019-03-01;Все товары и услуги;100.55;01.03.2019
2019-03-01;Непродовольственные товары;100.16;01.03.2019
2019-03-01;Продовольственные товары;101.12;01.03.2019
2019-03-01;Услуги;100.21;01.03.2019
2019-04-01;Все товары и услуги;100.59;01.04.2019
2019-04-01;Непродовольственные товары;100.36;01.04.2019
2019-04-01;Продовольственные товары;100.73;01.04.2019
2019-04-01;Услуги;100.72;01.04.2019
2019-05-01;Все товары и услуги;100.53;01.05.2019
2019-05-01;Непродовольственные товары;100.3;01.05.2019
2019-05-01;Продовольственные товары;100.74;01.05.2019
2019-05-01;Услуги;100.53;01.05.2019
2019-06-01;Все товары и услуги;99.589996;01.06.2019
2019-06-01;Непродовольственные товары;100.2;01.06.2019
2019-06-01;Продовольственные товары;98.550003;01.06.2019
2019-06-01;Услуги;100.41;01.06.2019
2019-07-01;Все товары и услуги;99.919998;01.07.2019
2019-07-01;Непродовольственные товары;100.08;01.07.2019
2019-07-01;Продовольственные товары;99.330002;01.07.2019
2019-07-01;Услуги;100.67;01.07.2019
2019-08-01;Все товары и услуги;99.830002;01.08.2019
2019-08-01;Непродовольственные товары;100.29;01.08.2019
2019-08-01;Продовольственные товары;99.169998;01.08.2019
2019-08-01;Услуги;100.2;01.08.2019
2019-09-01;Все товары и услуги;99.68;01.09.2019
2019-09-01;Непродовольственные товары;100.33;01.09.2019
2019-09-01;Продовольственные товары;99.529999;01.09.2019
2019-09-01;Услуги;98.980003;01.09.2019
2019-10-01;Все товары и услуги;100.3;01.10.2019
2019-10-01;Непродовольственные товары;100.62;01.10.2019
2019-10-01;Продовольственные товары;100.35;01.10.2019
2019-10-01;Услуги;99.739998;01.10.2019
2019-11-01;Все товары и услуги;100.39;01.11.2019
2019-11-01;Непродовольственные товары;100.46;01.11.2019
2019-11-01;Продовольственные товары;100.4;01.11.2019
2019-11-01;Услуги;100.29;01.11.2019
2019-12-01;Все товары и услуги;100.41;01.12.2019
2019-12-01;Непродовольственные товары;100.16;01.12.2019
2019-12-01;Продовольственные товары;100.96;01.12.2019
2019-12-01;Услуги;99.889999;01.12.2019
2020-01-01;Все товары и услуги;100.5;01.01.2020
2020-01-01;Непродовольственные товары;100.2;01.01.2020
2020-01-01;Продовольственные товары;101.33;01.01.2020
2020-01-01;Услуги;99.540001;01.01.2020
2020-02-01;Все товары и услуги;100.4;01.02.2020
2020-02-01;Непродовольственные товары;100.11;01.02.2020
2020-02-01;Продовольственные товары;100.56;01.02.2020
2020-02-01;Услуги;100.58;01.02.2020
2020-03-01;Все товары и услуги;100.67;01.03.2020
2020-03-01;Непродовольственные товары;100.11;01.03.2020
2020-03-01;Продовольственные товары;101.61;01.03.2020
2020-03-01;Услуги;99.900002;01.03.2020
2020-04-01;Все товары и услуги;101.3;01.04.2020
2020-04-01;Непродовольственные товары;100.19;01.04.2020
2020-04-01;Продовольственные товары;102.9;01.04.2020
2020-04-01;Услуги;100.22;01.04.2020
2020-05-01;Все товары и услуги;100.12;01.05.2020
2020-05-01;Непродовольственные товары;100.4;01.05.2020
2020-05-01;Продовольственные товары;99.82;01.05.2020
2020-05-01;Услуги;100.23;01.05.2020
2020-06-01;Все товары и услуги;100.01;01.06.2020
2020-06-01;Непродовольственные товары;100.55;01.06.2020
2020-06-01;Продовольственные товары;99.580002;01.06.2020
2020-06-01;Услуги;99.93;01.06.2020
2020-07-01;Все товары и услуги;99.849998;01.07.2020
2020-07-01;Непродовольственные товары;100.32;01.07.2020
2020-07-01;Продовольственные товары;99.099998;01.07.2020
2020-07-01;Услуги;100.47;01.07.2020
2020-08-01;Все товары и услуги;100.11;01.08.2020
2020-08-01;Непродовольственные товары;100.34;01.08.2020
2020-08-01;Продовольственные товары;99.459999;01.08.2020
2020-08-01;Услуги;100.9;01.08.2020
2020-09-01;Все товары и услуги;100.13;01.09.2020
2020-09-01;Непродовольственные товары;100.64;01.09.2020
2020-09-01;Продовольственные товары;100.05;01.09.2020
2020-09-01;Услуги;99.449997;01.09.2020
2020-10-01;Все товары и услуги;100.5;01.10.2020
2020-10-01;Непродовольственные товары;100.32;01.10.2020
2020-10-01;Продовольственные товары;101.03;01.10.2020
2020-10-01;Услуги;99.870003;01.10.2020
2020-11-01;Все товары и услуги;100.78;01.11.2020
2020-11-01;Непродовольственные товары;100.4;01.11.2020
2020-11-01;Продовольственные товары;101.59;01.11.2020
2020-11-01;Услуги;99.93;01.11.2020
2020-12-01;Все товары и услуги;100.9;01.12.2020
2020-12-01;Непродовольственные товары;100.37;01.12.2020
2020-12-01;Продовольственные товары;101.79;01.12.2020
2020-12-01;Услуги;100.13;01.12.2020
2021-01-01;Все товары и услуги;100.6;01.01.2021
