Код;Товар;Дата;Значение
3;Продовольственные товары;01.12.2016;99,62
4;Услуги;01.12.2016;101,02
1;Все товары и услуги;01.01.2017;100,14
2;Непродовольственные товары;01.01.2017;100,85
3;Продовольственные товары;01.01.2017;99,49
4;Услуги;01.01.2017;100,06
1;Все товары и услуги;01.02.2017;100,11
2;Непродовольственные товары;01.02.2017;100,55
3;Продовольственные товары;01.02.2017;99,36
4;Услуги;01.02.2017;100,58
1;Все товары и услуги;01.03.2017;100,11
2;Непродовольственные товары;01.03.2017;100,76
3;Продовольственные товары;01.03.2017;99,68
4;Услуги;01.03.2017;99,77
1;Все товары и услуги;01.04.2017;100,7
2;Непродовольственные товары;01.04.2017;100,61
3;Продовольственные товары;01.04.2017;100,99
4;Услуги;01.04.2017;100,33
1;Все товары и услуги;01.05.2017;100,54
2;Непродовольственные товары;01.05.2017;100,38
3;Продовольственные товары;01.05.2017;100,89
4;Услуги;01.05.2017;100,19
1;Все товары и услуги;01.06.2017;100,73
2;Непродовольственные товары;01.06.2017;100,03
3;Продовольственные товары;01.06.2017;101,2
4;Услуги;01.06.2017;101,06
1;Все товары и услуги;01.07.2017;99,81
2;Непродовольственные товары;01.07.2017;100,38
3;Продовольственные товары;01.07.2017;99,32
4;Услуги;01.07.2017;99,78
1;Все товары и услуги;01.08.2017;99,83
2;Непродовольственные товары;01.08.2017;100,43
3;Продовольственные товары;01.08.2017;98,84
4;Услуги;01.08.2017;100,42
1;Все товары и услуги;01.09.2017;100,14
2;Непродовольственные товары;01.09.2017;100,19
3;Продовольственные товары;01.09.2017;100,13
4;Услуги;01.09.2017;100,07
1;Все товары и услуги;01.10.2017;100,19
2;Непродовольственные товары;01.10.2017;100,16
3;Продовольственные товары;01.10.2017;100,38
4;Услуги;01.10.2017;99,93
1;Все товары и услуги;01.11.2017;100,07
2;Непродовольственные товары;01.11.2017;99,57
3;Продовольственные товары;01.11.2017;100,29
4;Услуги;01.11.2017;100,53
1;Все товары и услуги;01.12.2017;100,16
2;Непродовольственные товары;01.12.2017;99,71
3;Продовольственные товары;01.12.2017;100,6
4;Услуги;01.12.2017;100,17
1;Все товары и услуги;01.01.2018;99,68
2;Непродовольственные товары;01.01.2018;100,04
3;Продовольственные товары;01.01.2018;98,97
4;Услуги;01.01.2018;100,28
1;Все товары и услуги;01.02.2018;100,17
2;Непродовольственные товары;01.02.2018;100,17
3;Продовольственные товары;01.02.2018;100,24
4;Услуги;01.02.2018;100,02
1;Все товары и услуги;01.03.2018;99,98
2;Непродовольственные товары;01.03.2018;99,91
3;Продовольственные товары;01.03.2018;99,85
4;Услуги;01.03.2018;100,29
1;Все товары и услуги;01.04.2018;100,42
2;Непродовольственные товары;01.04.2018;100,39
3;Продовольственные товары;01.04.2018;100,23
4;Услуги;01.04.2018;100,72
1;Все товары и услуги;01.05.2018;100,2
2;Непродовольственные товары;01.05.2018;100,91
3;Продовольственные товары;01.05.2018;99,68
4;Услуги;01.05.2018;99,92
1;Все товары и услуги;01.06.2018;100,78
2;Непродовольственные товары;01.06.2018;100,25
3;Продовольственные товары;01.06.2018;101,56
4;Услуги;01.06.2018;100,34
1;Все товары и услуги;01.07.2018;100,4
2;Непродовольственные товары;01.07.2018;100,23
3;Продовольственные товары;01.07.2018;100,67
4;Услуги;01.07.2018;100,38
1;Все товары и услуги;01.08.2018;100,31
2;Непродовольственные товары;01.08.2018;100,08
3;Продовольственные товары;01.08.2018;100,76
4;Услуги;01.08.2018;99,97
1;Все товары и услуги;01.09.2018;99,93
2;Непродовольственные товары;01.09.2018;100,12
3;Продовольственные товары;01.09.2018;99,76
4;Услуги;01.09.2018;99,91
1;Все товары и услуги;01.10.2018;100,05
2;Непродовольственные товары;01.10.2018;99,96
3;Продовольственные товары;01.10.2018;99,84
4;Услуги;01.10.2018;100,49
1;Все товары и услуги;01.11.2018;100,76
2;Непродовольственные товары;01.11.2018;100,26
3;Продовольственные товары;01.11.2018;101,54
4;Услуги;01.11.2018;100,28
1;Все товары и услуги;01.12.2018;100,79
2;Непродовольственные товары;01.12.2018;100,19
3;Продовольственные товары;01.12.2018;101,56
4;Услуги;01.12.2018;100,48
1;Все товары и услуги;01.01.2019;100,76
2;Непродовольственные товары;01.01.2019;100,35
3;Продовольственные товары;01.01.2019;100,99
4;Услуги;01.01.2019;101,02
1;Все товары и услуги;01.02.2019;100,53
2;Непродовольственные товары;01.02.2019;100,34
3;Продовольственные товары;01.02.2019;99,97
4;Услуги;01.02.2019;101,75
1;Все товары и услуги;01.03.2019;100,43
2;Непродовольственные товары;01.03.2019;100,1
3;Продовольственные товары;01.03.2019;100,75
4;Услуги;01.03.2019;100,38
1;Все товары и услуги;01.04.2019;100,5
2;Непродовольственные товары;01.04.2019;100,36
3;Продовольственные товары;01.04.2019;100,47
4;Услуги;01.04.2019;100,75
1;Все товары и услуги;01.05.2019;100,65
2;Непродовольственные товары;01.05.2019;100,39
3;Продовольственные товары;01.05.2019;100,92
4;Услуги;01.05.2019;100,56
1;Все товары и услуги;01.06.2019;99,77
2;Непродовольственные товары;01.06.2019;100,37
3;Продовольственные товары;01.06.2019;98,91
4;Услуги;01.06.2019;100,27
1;Все товары и услуги;01.07.2019;100,21
2;Непродовольственные товары;01.07.2019;100,21
3;Продовольственные товары;01.07.2019;100,75
4;Услуги;01.07.2019;99,48
1;Все товары и услуги;01.08.2019;100,22
2;Непродовольственные товары;01.08.2019;100,26
3;Продовольственные товары;01.08.2019;100,46
4;Услуги;01.08.2019;99,76
1;Все товары и услуги;01.09.2019;99,86
2;Непродовольственные товары;01.09.2019;100,2
3;Продовольственные товары;01.09.2019;99,65
4;Услуги;01.09.2019;99,72
1;Все товары и услуги;01.10.2019;100,24
2;Непродовольственные товары;01.10.2019;100,46
3;Продовольственные товары;01.10.2019;100,09
4;Услуги;01.10.2019;100,11
1;Все товары и услуги;01.11.2019;100,34
2;Непродовольственные товары;01.11.2019;100,37
3;Продовольственные товары;01.11.2019;100,05
4;Услуги;01.11.2019;100,77
1;Все товары и услуги;01.12.2019;100,18
2;Непродовольственные товары;01.12.2019;100,17
3;Продовольственные товары;01.12.2019;100,17
4;Услуги;01.12.2019;100,19
1;Все товары и услуги;01.01.2020;100,11
2;Непродовольственные товары;01.01.2020;100,22
3;Продовольственные товары;01.01.2020;100,29
4;Услуги;01.01.2020;99,63
1;Все товары и услуги;01.02.2020;100,14
2;Непродовольственные товары;01.02.2020;100,11
3;Продовольственные товары;01.02.2020;100,12
4;Услуги;01.02.2020;100,22
1;Все товары и услуги;01.03.2020;100,54
2;Непродовольственные товары;01.03.2020;100,12
3;Продовольственные товары;01.03.2020;101,23
4;Услуги;01.03.2020;99,99
1;Все товары и услуги;01.04.2020;101,21
2;Непродовольственные товары;01.04.2020;100,25
3;Продовольственные товары;01.04.2020;102,62
4;Услуги;01.04.2020;100,21
1;Все товары и услуги;01.05.2020;100,29
2;Непродовольственные товары;01.05.2020;100,49
3;Продовольственные товары;01.05.2020;100,12
4;Услуги;01.05.2020;100,25
1;Все товары и услуги;01.06.2020;100,25
2;Непродовольственные товары;01.06.2020;100,74
3;Продовольственные товары;01.06.2020;100,01
4;Услуги;01.06.2020;99,9
1;Все товары и услуги;01.07.2020;100,18
2;Непродовольственные товары;01.07.2020;100,43
3;Продовольственные товары;01.07.2020;100,51
4;Услуги;01.07.2020;99,38
1;Все товары и услуги;01.08.2020;100,53
2;Непродовольственные товары;01.08.2020;100,27
3;Продовольственные товары;01.08.2020;100,87
4;Услуги;01.08.2020;100,31
1;Все товары и услуги;01.09.2020;100,31
2;Непродовольственные товары;01.09.2020;100,47
3;Продовольственные товары;01.09.2020;100,13
4;Услуги;01.09.2020;100,37
1;Все товары и услуги;01.10.2020;100,4
2;Непродовольственные товары;01.10.2020;100,16
3;Продовольственные товары;01.10.2020;100,7
4;Услуги;01.10.2020;100,26
1;Все товары и услуги;01.11.2020;100,68
2;Непродовольственные товары;01.11.2020;100,3
3;Продовольственные товары;01.11.2020;101,23
4;Услуги;01.11.2020;100,25
1;Все товары и услуги;01.12.2020;100,64
2;Непродовольственные товары;01.12.2020;100,4
3;Продовольственные товары;01.12.2020;101,07
4;Услуги;01.12.2020;100,21
1;Все товары и услуги;01.01.2021;100,17
2;Непродовольственные товары;01.01.2021;100,29
3;Продовольственные товары;01.01.2021;100,24
4;Услуги;01.01.2021;99,88
1;Все товары и услуги;01.02.2021;100,78
2;Непродовольственные товары;01.02.2021;100,63
3;Продовольственные товары;01.02.2021;101,1
4;Услуги;01.02.2021;100,38
1;Все товары и услуги;01.03.2021;101,03
2;Непродовольственные товары;01.03.2021;100,67
3;Продовольственные товары;01.03.2021;101,81
4;Услуги;01.03.2021;100,12
1;Все товары и услуги;01.04.2021;100,82
2;Непродовольственные товары;01.04.2021;100,53
3;Продовольственные товары;01.04.2021;101,11
4;Услуги;01.04.2021;100,69
1;Все товары и услуги;01.05.2021;100,73
2;Непродовольственные товары;01.05.2021;100,58
3;Продовольственные товары;01.05.2021;100,96
4;Услуги;01.05.2021;100,48
1;Все товары и услуги;01.06.2021;100,8
2;Непродовольственные товары;01.06.2021;100,59
3;Продовольственные товары;01.06.2021;101,04
4;Услуги;01.06.2021;100,65
1;Все товары и услуги;01.07.2021;100,63
2;Непродовольственные товары;01.07.2021;100,75
3;Продовольственные товары;01.07.2021;100,68
4;Услуги;01.07.2021;100,55
1;Все товары и услуги;01.08.2021;100,61
2;Непродовольственные товары;01.08.2021;101,09
3;Продовольственные товары;01.08.2021;100,03
4;Услуги;01.08.2021;100,93
1;Все товары и услуги;01.09.2021;100,84
2;Непродовольственные товары;01.09.2021;100,49
3;Продовольственные товары;01.09.2021;101,71
4;Услуги;01.09.2021;99,79
1;Все товары и услуги;01.10.2021;100,88
2;Непродовольственные товары;01.10.2021;100,46
3;Продовольственные товары;01.10.2021;101,26
4;Услуги;01.10.2021;100,78
1;Все товары и услуги;01.11.2021;100,59
2;Непродовольственные товары;01.11.2021;100,11
3;Продовольственные товары;01.11.2021;101,06
4;Услуги;01.11.2021;100,44
1;Все товары и услуги;01.12.2021;100,07
2;Непродовольственные товары;01.12.2021;100,22
3;Продовольственные товары;01.12.2021;99,6
4;Услуги;01.12.2021;100,7
1;Все товары и услуги;01.01.2022;100,69
2;Непродовольственные товары;01.01.2022;100,57
3;Продовольственные товары;01.01.2022;101,04
4;Услуги;01.01.2022;100,21
1;Все товары и услуги;01.02.2022;100,74
2;Непродовольственные товары;01.02.2022;100,63
3;Продовольственные товары;01.02.2022;101
4;Услуги;01.02.2022;100,42
1;Все товары и услуги;01.03.2022;105,26
2;Непродовольственные товары;01.03.2022;106,32
3;Продовольственные товары;01.03.2022;106,41
4;Услуги;01.03.2022;101,31
1;Все товары и услуги;01.04.2022;103,23
2;Непродовольственные товары;01.04.2022;101,86
3;Продовольственные товары;01.04.2022;105,35
4;Услуги;01.04.2022;101,05
1;Все товары и услуги;01.05.2022;100,99
2;Непродовольственные товары;01.05.2022;101,27
3;Продовольственные товары;01.05.2022;100,83
4;Услуги;01.05.2022;100,85
1;Все товары и услуги;01.06.2022;99,57
2;Непродовольственные товары;01.06.2022;100,31
3;Продовольственные товары;01.06.2022;98,8
4;Услуги;01.06.2022;100,01
1;Все товары и услуги;01.07.2022;99,53
2;Непродовольственные товары;01.07.2022;99,57
3;Продовольственные товары;01.07.2022;98,52
4;Услуги;01.07.2022;101,77
1;Все товары и услуги;01.08.2022;99,97
2;Непродовольственные товары;01.08.2022;100,46
3;Продовольственные товары;01.08.2022;99,77
4;Услуги;01.08.2022;99,56
1;Все товары и услуги;01.09.2022;100,36
2;Непродовольственные товары;01.09.2022;100,76
3;Продовольственные товары;01.09.2022;99,79
4;Услуги;01.09.2022;100,84
1;Все товары и услуги;01.10.2022;100,58
2;Непродовольственные товары;01.10.2022;100,48
3;Продовольственные товары;01.10.2022;100,34
4;Услуги;01.10.2022;101,19
1;Все товары и услуги;01.11.2022;100,03
2;Непродовольственные товары;01.11.2022;100,23
3;Продовольственные товары;01.11.2022;99,69
4;Услуги;01.11.2022;100,33
1;Все товары и услуги;01.12.2022;100,2
2;Непродовольственные товары;01.12.2022;99,97
3;Продовольственные товары;01.12.2022;99,59
4;Услуги;01.12.2022;101,93
1;Все товары и услуги;01.01.2023;100,7
2;Непродовольственные товары;01.01.2023;100,41
3;Продовольственные товары;01.01.2023;100,58
4;Услуги;01.01.2023;101,35
1;Все товары и услуги;01.02.2023;100,6
2;Непродовольственные товары;01.02.2023;100,31
3;Продовольственные товары;01.02.2023;101,2
4;Услуги;01.02.2023;100,1
1;Все товары и услуги;01.03.2023;100,13
2;Непродовольственные товары;01.03.2023;100,15
3;Продовольственные товары;01.03.2023;100
4;Услуги;01.03.2023;100,33
1;Все товары и услуги;01.04.2023;100,79
2;Непродовольственные товары;01.04.2023;100,48
3;Продовольственные товары;01.04.2023;101,33
4;Услуги;01.04.2023;100,33
1;Все товары и услуги;01.05.2023;99,96
2;Непродовольственные товары;01.05.2023;100,93
3;Продовольственные товары;01.05.2023;99,16
4;Услуги;01.05.2023;99,91
1;Все товары и услуги;01.06.2023;100,64
2;Непродовольственные товары;01.06.2023;100,56
3;Продовольственные товары;01.06.2023;100,62
4;Услуги;01.06.2023;100,77
1;Все товары и услуги;01.07.2023;101,01
2;Непродовольственные товары;01.07.2023;100,68
3;Продовольственные товары;01.07.2023;101,68
4;Услуги;01.07.2023;100,41
1;Все товары и услуги;01.08.2023;100,57
2;Непродовольственные товары;01.08.2023;100,58
3;Продовольственные товары;01.08.2023;100,31
4;Услуги;01.08.2023;100,91
1;Все товары и услуги;01.09.2023;101,69
2;Непродовольственные товары;01.09.2023;101,19
3;Продовольственные товары;01.09.2023;102,33
4;Услуги;01.09.2023;101,37
1;Все товары и услуги;01.10.2023;100,36
2;Непродовольственные товары;01.10.2023;100,06
3;Продовольственные товары;01.10.2023;100,27
4;Услуги;01.10.2023;100,9
1;Все товары и услуги;01.11.2023;100,49
2;Непродовольственные товары;01.11.2023;100,24
3;Продовольственные товары;01.11.2023;100,57
4;Услуги;01.11.2023;100,72
1;Все товары и услуги;01.12.2023;100,18
2;Непродовольственные товары;01.12.2023;100,2
3;Продовольственные товары;01.12.2023;100,11
4;Услуги;01.12.2023;100,24
1;Все товары и услуги;01.01.2024;100,38
2;Непродовольственные товары;01.01.2024;100,32
3;Продовольственные товары;01.01.2024;100,15
4;Услуги;01.01.2024;100,88
1;Все товары и услуги;01.02.2024;100,35
2;Непродовольственные товары;01.02.2024;100,17
3;Продовольственные товары;01.02.2024;100,6
4;Услуги;01.02.2024;100,17
1;Все товары и услуги;01.03.2024;100,34
2;Непродовольственные товары;01.03.2024;99,89
3;Продовольственные товары;01.03.2024;100,86
4;Услуги;01.03.2024;100,16
1;Все товары и услуги;01.04.2024;100,53
2;Непродовольственные товары;01.04.2024;100,49
3;Продовольственные товары;01.04.2024;100,41
4;Услуги;01.04.2024;100,75
1;Все товары и услуги;01.05.2024;101,11
2;Непродовольственные товары;01.05.2024;100,55
3;Продовольственные товары;01.05.2024;102,26
4;Услуги;01.05.2024;100,14
1;Все товары и услуги;01.06.2024;100,31
2;Непродовольственные товары;01.06.2024;100,12
3;Продовольственные товары;01.06.2024;100,68
4;Услуги;01.06.2024;100,02
1;Все товары и услуги;01.07.2024;101,28
2;Непродовольственные товары;01.07.2024;100,92
3;Продовольственные товары;01.07.2024;101,21
4;Услуги;01.07.2024;102,07
1;Все товары и услуги;01.08.2024;100,75
2;Непродовольственные товары;01.08.2024;100,28
3;Продовольственные товары;01.08.2024;100,78
4;Услуги;01.08.2024;101,28
1;Все товары и услуги;01.09.2024;100,55
2;Непродовольственные товары;01.09.2024;100,53
3;Продовольственные товары;01.09.2024;100,09
4;Услуги;01.09.2024;101,26
1;Все товары и услуги;01.10.2024;100,98
2;Непродовольственные товары;01.10.2024;100,5
3;Продовольственные товары;01.10.2024;101,21
4;Услуги;01.10.2024;101,27
1;Все товары и услуги;01.11.2024;101,33
2;Непродовольственные товары;01.11.2024;100,41
3;Продовольственные товары;01.11.2024;102,12
4;Услуги;01.11.2024;101,41
1;Все товары и услуги;01.12.2024;100,84
2;Непродовольственные товары;01.12.2024;100,57
3;Продовольственные товары;01.12.2024;101,53
4;Услуги;01.12.2024;100,05
1;Все товары и услуги;01.01.2025;100,25
2;Непродовольственные товары;01.01.2025;100,53
3;Продовольственные товары;01.01.2025;99,71
4;Услуги;01.01.2025;100,76
1;Все товары и услуги;01.02.2025;101,21
2;Непродовольственные товары;01.02.2025;100,65
3;Продовольственные товары;01.02.2025;101,58
4;Услуги;01.02.2025;101,45
1;Все товары и услуги;01.03.2025;100,53
2;Непродовольственные товары;01.03.2025;100,32
3;Продовольственные товары;01.03.2025;100,67
4;Услуги;01.03.2025;100,61
1;Все товары и услуги;01.04.2025;100,61
2;Непродовольственные товары;01.04.2025;100,16
3;Продовольственные товары;01.04.2025;100,83
4;Услуги;01.04.2025;100,9
1;Все товары и услуги;01.05.2025;100,15
2;Непродовольственные товары;01.05.2025;99,87
3;Продовольственные товары;01.05.2025;100,59
4;Услуги;01.05.2025;99,87
1;Все товары и услуги;01.06.2025;100,11
2;Непродовольственные товары;01.06.2025;100,61
3;Продовольственные товары;01.06.2025;99,49
4;Услуги;01.06.2025;100,4
1;Все товары и услуги;01.07.2025;100,58
2;Непродовольственные товары;01.07.2025;100,25
3;Продовольственные товары;01.07.2025;99,35
4;Услуги;01.07.2025;103,16
1;Все товары и услуги;01.08.2025;100,02
2;Непродовольственные товары;01.08.2025;100,32
3;Продовольственные товары;01.08.2025;99,63
4;Услуги;01.08.2025;100,08
1;Все товары и услуги;01.09.2025;100,92
2;Непродовольственные товары;01.09.2025;100,63
3;Продовольственные товары;01.09.2025;101,24
4;Услуги;01.09.2025;100,81
1;Все товары и услуги;01.10.2025;100,52
2;Непродовольственные товары;01.10.2025;100,33
3;Продовольственные товары;01.10.2025;100,75
4;Услуги;01.10.2025;100,4
1;Все товары и услуги;01.11.2025;100,08
2;Непродовольственные товары;01.11.2025;99,81
3;Продовольственные товары;01.11.2025;100,15
4;Услуги;01.11.2025;100,34
1;Все товары и услуги;01.12.2025;100,26
2;Непродовольственные товары;01.12.2025;99,98
3;Продовольственные товары;01.12.2025;100,04
4;Услуги;01.12.2025;100,98
1;Все товары и услуги;01.01.2026;100,9
2;Непродовольственные товары;01.01.2026;100,59
3;Продовольственные товары;01.01.2026;101,02
4;Услуги;01.01.2026;101,24
1;Все товары и услуги;01.02.2026;101,01
2;Непродовольственные товары;01.02.2026;100,27
3;Продовольственные товары;01.02.2026;101,78
4;Услуги;01.02.2026;100,83
1;Все товары и услуги;01.03.2026;100,29
2;Непродовольственные товары;01.03.2026;100
3;Продовольственные товары;01.03.2026;100,45
4;Услуги;01.03.2026;100,47
1;Все товары и услуги;01.04.2026;99,84
2;Непродовольственные товары;01.04.2026;99,92
3;Продовольственные товары;01.04.2026;99,59
4;Услуги;01.04.2026;100,13
1;Все товары и услуги;01.05.2026;100,36
2;Непродовольственные товары;01.05.2026;100,16
3;Продовольственные товары;01.05.2026;100,66
4;Услуги;01.05.2026;100,24
1;Все товары и услуги;01.06.2026;101,2
2;Непродовольственные товары;01.06.2026;102,3
3;Продовольственные товары;01.06.2026;100,29
4;Услуги;01.06.2026;101,09
1;Все товары и услуги;01.07.2026;101,25
2;Непродовольственные товары;01.07.2026;101,56
3;Продовольственные товары;01.07.2026;101,53
4;Услуги;01.07.2026;100,29
